Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Hyundai Verna 1.6,2013,5.22,8.56,150000,Diesel,Individual,Manual,1
Hyundai i20 Magna,2013,4.52,7.1,69000,Diesel,Individual,Manual,0
Toyota Corolla Altis,2009,3.0,15.93,100000,Petrol,Individual,Manual,1
Maruti Celerio VXI,2020,4.75,5.1,13000,Petrol,Individual,Manual,0
Maruti Vitara Brezza,2016,7.8,9.04,60000,Diesel,Individual,Manual,0
Maruti Swift Dzire,2017,5.95,7.64,40000,Petrol,Individual,Manual,0
Maruti Wagon R,2017,4.4,3.74,35000,Petrol,Individual,Manual,0
Maruti Swift VDI,2010,3.0,6.94,120000,Diesel,Individual,Manual,1
Nissan Terrano XL,2014,4.0,10.5,70000,Diesel,Individual,Manual,2
Hyundai Creta 1.6,2016,11.4,11.52,50000,Diesel,Individual,Manual,0
Ford EcoSport 1.5,2017,8.5,8.59,76139,Diesel,Individual,Manual,0
Maruti Swift Dzire,2012,3.7,7.43,175000,Diesel,Individual,Manual,3
Renault KWID 1.0,2018,3.5,3.38,25000,Petrol,Individual,Manual,0
Maruti Celerio VXI,2015,3.6,5.1,40000,Petrol,Individual,Manual,1
Maruti Alto LXi,2008,1.05,3.56,65000,Petrol,Individual,Manual,3
Maruti Ertiga VDI,2013,6.25,9.82,90000,Diesel,Individual,Manual,1
Hyundai Santro Xing,2009,1.35,5.3,80000,Petrol,Individual,Manual,1
Maruti Ertiga VDI,2015,7.0,9.82,110000,Diesel,Individual,Manual,1
Honda Amaze S,2019,6.9,6.43,1303,Petrol,Dealer,Manual,0
Audi Q5 35TDI,2018,39.75,64.2,31800,Diesel,Dealer,Automatic,0
Lexus ES 300h,2019,51.5,8.32,20000,Petrol,Dealer,Automatic,0
Jaguar XF 2.0,2017,32.0,63.48,45000,Diesel,Dealer,Automatic,0
Jeep Wrangler 2016-2019,2017,41.0,17.68,17000,Petrol,Individual,Automatic,0
Land Rover Discovery,2019,45.0,72.0,21000,Diesel,Dealer,Automatic,0
Mercedes-Benz S-Class S,2017,60.0,56.4,37000,Diesel,Dealer,Automatic,0
BMW 5 Series,2018,37.9,68.56,29500,Diesel,Dealer,Automatic,0
BMW X1 sDrive,2017,21.5,37.34,27000,Diesel,Dealer,Automatic,0
BMW X4 M,2019,58.0,49.5,7500,Diesel,Dealer,Automatic,0
Skoda Superb LK,2018,18.65,35.97,50000,Petrol,Dealer,Automatic,0
Mercedes-Benz E-Class E250,2016,27.0,56.4,35000,Diesel,Dealer,Automatic,0
MG Hector Sharp,2019,17.5,12.28,19000,Petrol,Dealer,Automatic,0
Honda City i-VTEC,2017,7.95,11.85,41000,Petrol,Dealer,Automatic,0
Toyota Corolla Altis,2013,6.25,15.75,39000,Petrol,Dealer,Automatic,0
Volvo XC40 D4,2018,34.0,46.35,22000,Diesel,Dealer,Automatic,0
Audi Q7 35,2015,26.5,81.97,53000,Diesel,Dealer,Automatic,0
Maruti Ciaz ZDi,2015,5.35,9.14,40000,Diesel,Dealer,Manual,0
Mercedes-Benz S-Class S,2017,58.5,56.4,47000,Diesel,Dealer,Automatic,0
BMW 5 Series,2010,9.75,64.16,72200,Petrol,Dealer,Automatic,1
Hyundai Elantra S,2016,8.05,18.04,49900,Petrol,Dealer,Manual,0
Jaguar XE 2016-2019,2017,26.25,69.0,9000,Diesel,Dealer,Automatic,0
Tata Nexon 1.2,2018,8.11,7.9,11000,Petrol,Dealer,Manual,0
Volkswagen Vento Petrol,2011,3.75,11.41,49000,Petrol,Individual,Manual,0
Hyundai Elantra SX,2012,5.5,17.5,95000,Petrol,Individual,Manual,0
Skoda Rapid 1.6,2016,6.45,10.99,11000,Petrol,Dealer,Automatic,0
Mercedes-Benz CLA 200,2018,25.5,63.6,18000,Petrol,Dealer,Automatic,0
Maruti Ertiga ZXI,2014,5.99,10.9,46100,Petrol,Dealer,Manual,0
Mercedes-Benz New C-Class,2017,27.0,63.6,16000,Petrol,Dealer,Automatic,0
Honda City V,2017,8.75,11.27,18000,Petrol,Dealer,Automatic,0
Toyota Glanza V,2019,8.95,7.52,9654,Petrol,Dealer,Automatic,0
Maruti Alto K10,2011,1.75,4.15,11000,Petrol,Dealer,Manual,0
Maruti Swift VXI,2012,3.4,6.66,24300,Petrol,Dealer,Manual,0
Toyota Innova Crysta,2016,15.25,15.28,42163,Diesel,Dealer,Automatic,1
Tata Nexon 1.5,2018,10.25,9.08,8000,Diesel,Dealer,Automatic,0
BMW 3 Series,2016,21.5,39.01,30000,Diesel,Dealer,Automatic,0
Toyota Camry 2.5,2016,19.0,39.88,41000,Petrol,Dealer,Automatic,0
BMW 5 Series,2016,29.0,67.93,12000,Diesel,Dealer,Automatic,0
Toyota Camry W4,2009,4.5,34.18,71000,Petrol,Dealer,Automatic,0
Maruti Ertiga BSIV,2016,8.5,11.01,20000,Petrol,Individual,Manual,0
Volvo XC90 T8,2017,100.0,41.85,30000,Petrol,Individual,Automatic,0
Volkswagen Vento Diesel,2011,3.0,11.3,100000,Diesel,Individual,Manual,1
Ford Figo Aspire,2018,5.75,5.93,9500,Petrol,Individual,Manual,0
Ford Figo Diesel,2011,1.6,5.45,120000,Diesel,Individual,Manual,0
Maruti Swift VXI,2015,5.15,6.25,36600,Petrol,Individual,Manual,0
Maruti Wagon R,2015,3.9,3.94,50000,Petrol,Individual,Automatic,1
Hyundai i20 Magna,2016,5.5,8.19,14000,Petrol,Individual,Manual,1
Maruti 800 Std,1999,0.4,2.73,40000,Petrol,Individual,Manual,1
Maruti Ritz VDi,2010,2.2,5.31,120000,Diesel,Individual,Manual,0
Hyundai Grand i10,2015,4.25,5.11,70000,Petrol,Individual,Manual,0
Volkswagen Ameo 1.0,2019,4.8,10.4,13000,Petrol,Individual,Manual,0
Hyundai Grand i10,2014,4.0,5.45,60000,Petrol,Individual,Manual,1
Maruti Swift Dzire,2014,4.87,7.64,35000,Petrol,Individual,Manual,0
Hyundai Xcent 1.2,2016,3.86,6.76,44000,Petrol,Individual,Manual,1
Honda City 1.5,2005,1.0,10.69,120000,Petrol,Individual,Manual,1
Toyota Corolla Altis,2010,3.0,16.62,60000,Diesel,Individual,Manual,0
Daewoo Matiz SD,2000,1.0,7.2,60000,Petrol,Individual,Manual,0
Toyota Fortuner 4x2,2014,17.5,29.68,30000,Diesel,Individual,Manual,1
Mahindra KUV 100,2016,4.5,6.47,15000,Petrol,Individual,Manual,1
Tata Zest Quadrajet,2017,4.9,7.95,90000,Diesel,Individual,Manual,0
Honda City 1.5,2009,3.45,12.42,47000,Petrol,Individual,Manual,1
Maruti Zen LXI,2005,0.85,3.6,90000,Petrol,Individual,Manual,0
Maruti Wagon R,2010,2.15,4.36,120600,Petrol,Individual,Manual,1
Hyundai Verna Transform,2010,3.2,9.39,100000,Petrol,Individual,Manual,2
Maruti Swift Dzire,2016,4.6,7.64,60000,Petrol,Individual,Manual,1
Hyundai Getz GLS,2005,0.65,8.24,86000,Petrol,Individual,Manual,0
Hyundai Elite i20,2020,7.2,8.56,5000,Petrol,Individual,Manual,0
Maruti Ciaz 1.3,2017,8.0,10.14,37000,Diesel,Individual,Manual,0
Tata Tigor 1.2,2019,5.2,5.52,14000,Petrol,Individual,Manual,0
Maruti Ertiga VDI,2015,5.8,9.82,70000,Diesel,Individual,Manual,0
Toyota Etios GD,2012,2.35,7.2,120000,Diesel,Individual,Manual,0
Honda City i,2015,6.0,11.73,50000,Petrol,Individual,Manual,0
Honda Brio S,2014,2.9,5.89,60000,Petrol,Individual,Manual,1
Maruti Wagon R,2016,3.6,4.32,50000,CNG,Individual,Manual,0
Maruti Swift Dzire,2017,5.5,7.64,50000,Petrol,Individual,Manual,0
Hyundai i20 Sportz,2013,3.75,7.72,70000,Petrol,Individual,Manual,0
Maruti Omni E,2003,0.4,2.94,90000,Petrol,Individual,Manual,1
Maruti Wagon R,2018,4.2,3.94,35000,Petrol,Individual,Automatic,0
Maruti Swift Dzire,2017,5.5,7.5,20000,Petrol,Individual,Manual,0
Maruti Alto 800,2018,2.7,3.74,20000,Petrol,Individual,Manual,0
Maruti Swift Dzire,2018,7.0,6.56,7800,Petrol,Individual,Automatic,0
Maruti Swift VXI,2017,5.0,6.25,20000,Petrol,Individual,Manual,0
Tata Hexa XE,2019,12.5,7.07,15000,Diesel,Individual,Manual,0
Hyundai i20 Magna,2013,3.2,7.64,31377,Petrol,Individual,Manual,1
Maruti Swift Dzire,2018,7.0,6.49,50000,Diesel,Individual,Manual,0
Maruti Wagon R,2015,2.9,3.74,60000,Petrol,Individual,Manual,0
Toyota Corolla Altis,2012,5.5,17.68,100000,Petrol,Individual,Automatic,0
Honda Brio S,2012,2.65,5.89,60000,Petrol,Individual,Manual,0
Maruti Baleno Alpha,2018,8.3,7.6,5000,Petrol,Individual,Automatic,0
Tata Safari Storme,2017,8.0,16.11,60000,Diesel,Individual,Manual,0
Maruti Alto LXi,2011,1.6,3.56,25000,Petrol,Individual,Manual,1
Renault KWID RXT,2018,3.35,3.42,30000,Petrol,Individual,Manual,0
Datsun GO T,2017,3.29,4.07,80000,Petrol,Individual,Manual,1
Maruti Vitara Brezza,2017,7.75,9.04,75000,Diesel,Individual,Manual,0
Hyundai Xcent 1.2,2020,5.24,6.96,32000,Petrol,Individual,Manual,0
Maruti Alto 800,2015,2.45,3.74,40000,Petrol,Individual,Manual,0
Hyundai i20 1.2,2012,2.75,7.41,93000,Petrol,Individual,Manual,1
Tata Zest Revotron,2018,5.2,7.27,60000,Petrol,Individual,Manual,0
Maruti Swift 1.3,2008,1.3,6.18,120000,Petrol,Individual,Manual,1
Nissan Sunny XL,2014,5.5,8.56,37000,Petrol,Individual,Manual,0
Ford EcoSport 1.5,2018,9.1,10.11,15000,Petrol,Individual,Manual,0
Nissan Micra Active,2015,3.0,5.7,80000,Petrol,Individual,Manual,0
Maruti Wagon R,2016,3.5,3.74,140000,Petrol,Individual,Manual,0
Mahindra Ssangyong Rexton,2013,9.0,9.6,70000,Diesel,Individual,Manual,0
Mahindra Quanto C8,2013,3.0,10.9,120000,Diesel,Individual,Manual,1
Maruti Ritz LDi,2010,2.5,5.2,110000,Diesel,Individual,Manual,1
Hyundai Creta 1.6,2017,11.0,12.6,37000,Diesel,Individual,Manual,0
Renault KWID RXT,2016,2.7,3.42,44000,Petrol,Individual,Manual,0
Maruti Ertiga VDI,2015,6.4,9.82,80000,Diesel,Individual,Manual,0
Mahindra XUV500 W4,2015,6.5,14.93,125000,Diesel,Individual,Manual,0
Maruti Eeco 5,2017,4.1,4.0,13500,Petrol,Individual,Manual,0
Hyundai Santro Xing,2011,1.65,5.3,75000,Petrol,Individual,Manual,0
Hyundai Accent GLE,2007,0.8,8.48,120000,Petrol,Individual,Manual,1
Mahindra XUV500 W8,2012,5.35,12.92,120000,Diesel,Individual,Manual,0
Toyota Innova 2.5,2013,7.0,13.27,70000,Diesel,Individual,Manual,0
Maruti Swift Dzire,2013,5.5,6.49,70000,Diesel,Individual,Manual,0
Honda Amaze S,2019,6.8,6.76,15000,Petrol,Individual,Automatic,0
Hyundai i10 Sportz,2009,2.0,4.61,53000,Petrol,Individual,Manual,1
Maruti Swift Dzire,2014,5.0,6.49,120000,Diesel,Individual,Manual,1
Maruti Ertiga SHVS,2016,10.0,11.01,70000,Diesel,Individual,Manual,0
Hyundai Getz 1.3,2008,1.1,8.72,120000,Petrol,Individual,Manual,1
Hyundai i20 1.2,2012,3.2,7.33,100000,Petrol,Individual,Manual,1
Tata Indica DLS,2005,0.75,3.68,110000,Diesel,Individual,Manual,1
Maruti Swift LXI,2015,3.5,6.94,100000,Petrol,Individual,Manual,0
Tata Indica Vista,2013,1.7,4.36,162500,Diesel,Individual,Manual,0
Hyundai i20 2015-2017,2017,8.0,7.72,39000,Diesel,Individual,Manual,0
Maruti Ignis 1.3,2017,5.0,4.76,75000,Diesel,Individual,Manual,0
Tata Hexa XTA,2017,13.8,7.28,50000,Diesel,Individual,Automatic,0
Mahindra Marazzo M6,2019,13.0,10.1,40000,Diesel,Individual,Manual,0
Hyundai Verna 1.6,2013,5.3,9.86,92500,Diesel,Individual,Manual,0
Maruti Swift Dzire,2012,3.6,6.49,158000,Diesel,Individual,Manual,0
Maruti Swift Dzire,2012,3.1,6.63,120000,Diesel,Individual,Manual,0
Honda City i,2015,7.25,10.69,50000,Diesel,Individual,Manual,1
Maruti Swift Dzire,2012,3.4,6.56,110000,Diesel,Individual,Manual,0
Hyundai Xcent 1.2,2017,5.5,6.37,2000,Diesel,Individual,Manual,1
Toyota Fortuner 3.0,2011,11.5,28.18,181000,Diesel,Individual,Manual,1
Tata Tiago 1.05,2016,3.8,5.4,70000,Diesel,Individual,Manual,0
Nissan Sunny XL,2013,3.5,7.6,90000,Petrol,Individual,Automatic,1
Hyundai Elite i20,2019,6.1,7.44,2000,Petrol,Individual,Manual,0
Maruti Swift Dzire,2015,5.25,7.64,20000,Petrol,Individual,Manual,0
Toyota Innova 2.5,2011,4.8,13.41,120000,Diesel,Individual,Manual,0
Mahindra Thar CRDe,2017,7.8,13.22,35000,Diesel,Individual,Manual,0
Maruti Swift Dzire,2012,3.2,6.56,193000,Diesel,Individual,Manual,0
Maruti Swift 1.2,2014,3.75,6.53,80000,Petrol,Individual,Manual,0
Datsun GO D,2019,3.0,4.11,40000,Petrol,Individual,Manual,0
Hyundai i20 Asta,2015,5.0,7.64,70000,Diesel,Individual,Manual,3
Mahindra Scorpio LX,2011,4.04,13.3,122358,Diesel,Individual,Manual,0
Tata Sumo Gold,2015,5.0,6.51,75000,Diesel,Individual,Manual,0
Tata Tiago Wizz,2017,3.5,5.56,120000,Diesel,Individual,Manual,0
Tata Zest Revotron,2015,3.8,7.27,40000,Petrol,Individual,Manual,0
Hyundai Accent GLE,2008,1.15,8.48,95200,Petrol,Individual,Manual,2
Honda Brio Exclusive,2014,3.35,5.33,33033,Petrol,Dealer,Manual,0
Hyundai Grand i10,2015,4.65,5.22,63063,Petrol,Dealer,Automatic,0
Tata Manza Club,2012,2.9,6.36,60000,Diesel,Individual,Manual,0
Maruti Alto LX,2005,1.1,3.85,45000,Petrol,Individual,Manual,1
Tata New Safari,2011,4.5,7.56,80000,Diesel,Individual,Manual,2
Mahindra Bolero SLE,2009,4.0,9.03,170000,Diesel,Individual,Manual,1
Mahindra Bolero DI,2007,2.1,9.76,207890,Diesel,Individual,Manual,1
Mercedes-Benz GL-Class 220d,2018,46.0,54.0,7976,Diesel,Individual,Automatic,0
Maruti Omni E,2016,2.2,2.8,35000,Petrol,Individual,Manual,0
Hyundai Grand i10,2017,4.5,5.45,35000,Petrol,Individual,Manual,0
Hyundai Grand i10,2017,4.5,5.45,35000,Petrol,Individual,Manual,0
Hyundai i10 Sportz,2013,2.9,4.65,50000,Petrol,Individual,Automatic,0
Maruti Swift VXI,2016,5.2,6.39,20000,Petrol,Individual,Manual,0
Hyundai i10 Sportz,2011,2.65,4.65,20000,Petrol,Individual,Automatic,0
Maruti Swift VXI,2012,3.3,6.66,50000,Petrol,Individual,Manual,1
Maruti Swift VXI,2012,3.3,6.66,50000,Petrol,Individual,Manual,1
Mahindra Bolero 2011-2019,2014,5.1,8.47,120000,Diesel,Individual,Manual,0
Hyundai Verna 1.6,2014,5.0,8.56,70000,Petrol,Individual,Manual,0
Hyundai i20 Active,2015,5.25,7.64,50000,Petrol,Individual,Manual,0
Maruti Baleno Zeta,2019,6.75,7.38,16500,Petrol,Individual,Manual,0
Hyundai i20 1.2,2010,3.0,7.96,70000,Petrol,Individual,Manual,0
Maruti Alto LXI,2005,0.9,3.74,99361,Petrol,Individual,Manual,1
Maruti Swift Dzire,2017,6.5,6.49,25000,Diesel,Individual,Manual,0
Maruti Swift Dzire,2014,4.09,7.64,70000,Petrol,Individual,Manual,1
Hyundai Grand i10,2015,3.95,5.89,80000,Diesel,Individual,Manual,1
Maruti Swift 1.3,2010,2.15,6.18,70000,Petrol,Individual,Manual,1
Maruti Swift Dzire,2014,4.0,7.64,70000,Petrol,Individual,Manual,1
Chevrolet Beat LS,2012,1.2,4.23,60000,Petrol,Individual,Manual,2
Tata Tigor 1.2,2018,6.45,5.63,10000,Petrol,Individual,Automatic,0
Maruti 800 Std,2006,0.81,2.73,80000,Petrol,Individual,Manual,0
Honda City i-DTEC,2017,13.0,11.27,30000,Diesel,Individual,Manual,0
Honda City i-DTEC,2017,12.5,11.27,33000,Diesel,Individual,Manual,0
Maruti Ertiga VXI,2013,5.35,10.36,90000,Petrol,Individual,Manual,2
Nissan Terrano XV,2014,5.55,10.6,80100,Diesel,Individual,Manual,1
Honda City i,2014,7.25,12.08,120000,Petrol,Individual,Manual,0
Mahindra Willys CJ,1983,3.0,10.3,10000,Diesel,Individual,Manual,2
Renault KWID RXL,2016,2.3,3.82,40000,Petrol,Individual,Manual,0
Toyota Innova 2.5,2013,8.0,14.0,160000,Diesel,Individual,Manual,1
Maruti Wagon R,2017,4.1,3.74,47000,Petrol,Individual,Manual,0
Hyundai Creta 1.4,2018,12.1,11.4,25000,Diesel,Individual,Manual,0
Tata Tiago 1.2,2017,4.0,5.45,26000,Petrol,Individual,Manual,0
Hyundai Grand i10,2018,5.2,5.83,29000,Diesel,Individual,Manual,0
Maruti Baleno Zeta,2016,6.5,6.85,50000,Petrol,Individual,Automatic,0
Maruti Swift ZXI,2011,3.25,7.08,58000,Petrol,Individual,Manual,2
Maruti Swift Dzire,2012,4.2,7.43,120000,Petrol,Individual,Automatic,0
Maruti Swift LXI,2014,4.0,6.18,50000,Petrol,Individual,Manual,0
Hyundai i20 1.2,2010,2.55,7.96,80000,Petrol,Individual,Manual,3
Maruti Zen LXI,2003,0.65,3.6,60000,Petrol,Individual,Manual,3
Maruti Celerio LXI,2017,3.51,5.41,36000,Petrol,Individual,Manual,0
Toyota Innova 2.5,2007,4.04,15.89,120000,Diesel,Individual,Manual,2
Maruti Ritz LDi,2011,1.85,5.2,185000,Diesel,Individual,Manual,2
Nissan Micra Diesel,2011,2.5,5.4,50000,Diesel,Individual,Manual,0
Maruti Zen LXI,2002,0.6,3.6,100000,Petrol,Individual,Manual,3
Hyundai Verna 1.6,2013,5.0,8.56,50000,Petrol,Individual,Manual,1
Maruti Zen Estilo,2007,0.85,3.5,80000,Petrol,Individual,Manual,1
Hyundai Santro Xing,2005,0.85,5.3,60000,Petrol,Individual,Manual,1
Maruti Alto LX,2005,0.85,3.85,80000,Petrol,Individual,Manual,3
